100 120
245.955837173363278225224 245.955837173363278225224 245.955837173363278225224
246.072793505396674618169 246.072793505396674618169 246.072793505396674618169
246.194968736046746471402 246.194968736046746471402 246.194968736046746471402
246.322611887071502678737 246.322611887071502678737 246.322611887071502678737
246.455971243147871518886 246.455971243147871518886 246.455971243147871518886
246.595289745262903124967 246.595289745262903124967 246.595289745262903124967
246.740798946319983997455 246.740798946319983997455 246.740798946319983997455
246.892711188184080128849 246.892711188184080128849 246.892711188184080128849
247.051209600388091303103 247.051209600388091303103 247.051209600388091303103
247.216435461982086962962 247.216435461982086962962 247.216435461982086962962
247.388472416749863214136 247.388472416749863214136 247.388472416749863214136
247.567327000078790888438 247.567327000078790888438 247.567327000078790888438
247.752904941445763142838 247.752904941445763142838 247.752904941445763142838
247.944982776572629745715 247.944982776572629745715 247.944982776572629745715
248.143174475096515152472 248.143174475096515152472 248.143174475096515152472
248.271295979656144936598 248.271295979656144936598 248.271295979656144936598
248.32392388965089935482 248.32392388965089935482 248.32392388965089935482
248.37745491099460082296 248.37745491099460082296 248.37745491099460082296
248.431521480561343651061 248.431521480561343651061 248.431521480561343651061
248.485660439414374422995 248.485660439414374422995 248.485660439414374422995
248.539304503167784332618 248.539304503167784332618 248.539304503167784332618
248.591777934311210174201 248.591777934311210174201 248.591777934311210174201
248.642298705278193438062 248.642298705278193438062 248.642298705278193438062
248.689989606695831980687 248.689989606695831980687 248.689989606695831980687
248.733900508190060918423 248.733900508190060918423 248.733900508190060918423
248.773043128739232088265 248.773043128739232088265 248.773043128739232088265
248.806438108637678396917 248.806438108637678396917 248.806438108637678396917
